dataset_id	method_id	dataset_loader	dataset_group	method_group	metric_id	value
10x_pbmc_granulocyte_sorted_3k_JE	baseline_lmds	10x	JE	baseline	ari	0.3875463641998006
10x_pbmc_granulocyte_sorted_3k_JE	baseline_mnn	10x	JE	baseline	ari	0.5670345230153887
10x_pbmc_granulocyte_sorted_3k_JE	baseline_pca	10x	JE	baseline	ari	0
10x_pbmc_granulocyte_sorted_3k_JE	baseline_umap	10x	JE	baseline	ari	0
10x_pbmc_granulocyte_sorted_3k_JE	dummy_random	10x	JE	dummy	ari	-1.7646966006153167e-4
10x_pbmc_granulocyte_sorted_3k_JE	dummy_solution	10x	JE	dummy	ari	0.6619196696062305
10x_pbmc_granulocyte_sorted_3k_JE	dummy_zeros	10x	JE	dummy	ari	0
10x_pbmc_unsorted_10k_JE	baseline_lmds	10x	JE	baseline	ari	0.4428929088597102
10x_pbmc_unsorted_10k_JE	baseline_mnn	10x	JE	baseline	ari	0.6246609994034048
10x_pbmc_unsorted_10k_JE	baseline_pca	10x	JE	baseline	ari	0
10x_pbmc_unsorted_10k_JE	baseline_umap	10x	JE	baseline	ari	0
10x_pbmc_unsorted_10k_JE	dummy_random	10x	JE	dummy	ari	1.595920147992106e-4
10x_pbmc_unsorted_10k_JE	dummy_solution	10x	JE	dummy	ari	0
10x_pbmc_unsorted_10k_JE	dummy_zeros	10x	JE	dummy	ari	-1.2567424053351532e-5
10x_pbmc_unsorted_3k_JE	baseline_lmds	10x	JE	baseline	ari	0.4137357897847435
10x_pbmc_unsorted_3k_JE	baseline_mnn	10x	JE	baseline	ari	0.609728843214888
10x_pbmc_unsorted_3k_JE	baseline_pca	10x	JE	baseline	ari	0
10x_pbmc_unsorted_3k_JE	baseline_umap	10x	JE	baseline	ari	0
10x_pbmc_unsorted_3k_JE	dummy_random	10x	JE	dummy	ari	-5.33766032787846e-4
10x_pbmc_unsorted_3k_JE	dummy_solution	10x	JE	dummy	ari	0.3136393965117218
10x_pbmc_unsorted_3k_JE	dummy_zeros	10x	JE	dummy	ari	0
azimuth_ref_JE	baseline_lmds	azimuth	JE	baseline	ari	1.458760607696472
azimuth_ref_JE	baseline_mnn	azimuth	JE	baseline	ari	0
azimuth_ref_JE	baseline_pca	azimuth	JE	baseline	ari	0
