method_id	ari	asw_batch	asw_label	cc_cons	correct_format	finished	graph_conn	latent_mixing	nmi	rfoob_batch_error	rfoob_celltype_accuracy	rfoob_pseudotimeadt_rsq	rfoob_pseudotimegex_rsq	ti_cons_ADT_ATAC	ti_cons_mean	ti_cons_RNA
baseline_lmds	0.3443224780023083	0.4275973387380024	0.5316413487510189	0.3554497860480826	0.9565217391304348	0.9565217391304348	0.6122687687123027	-0.0995416058678789	0.5453409512113421	0.01255193914754145	0.8713316769957827	0.8363236405337064	0.8902721036305046	0.6517624959252531	0.6498981123317082	0.6480337287381635
baseline_mnn	0.408778388328096	0.7113740105141206	0.48376531510249426	0.29802164585764973	0.8260869565217391	0.8260869565217391	0.7342574375403065	-0.23804506452254454	0.5216272019808966	0.191245519120956	0.6831137424020495	0.4419617548245298	0.46004153315967394	0.6363897715752	0.6585571975368674	0.6807246234985347
baseline_pca	0.19932855090863935	0.31548120342889585	0.26293273043626436	0.2276104241692944	0.5217391304347826	0.5217391304347826	0.37121751597428215	-0.5261902017912411	0.2699562612583879	0.018965747921680074	0.448633919700745	0.012836652277479066	-0.0014006681530762677	0.3708992021686334	0.37764305712779483	0.38438691208695625
baseline_umap	0.16305565275585102	0.18270025947689106	0.25783374925832386	0.1411856620052299	0.4782608695652174	0.4782608695652174	0.22556358700779702	-0.5644935536121591	0.24721534313706703	0.023082530719565657	0.40357805846483596	-0.08593243662489385	-0.0947029659733381	0.12373172580666782	0.11554283442056353	0.10735394303445923
dummy_random	-1.3525611401848107e-4	0.99287776424993	0.4754356747827209	0.04079540726509242	1	1	0.5734840224500815	-0.09120099481322073	0.02318448008015617	0.350075349324431	0.20519913678915855	-0.22614895122129317	-0.22734390684655265	0.48080428914924317	0.4803514303305664	0.4798985715118896
dummy_solution	0.12261565339287653	0.38191516490070326	0.22080176643604596	0.06740794188813061	0.43478260869565216	0.43478260869565216	0.2635178810659836	-0.5675418102886187	0.17154130326955813	0.1936577107584878	0.24668751513895407	-0.4398221627347535	-0.44403920908463507	0.1531995785121147	0.1587468868149612	0.1642941951178077
dummy_zeros	-9.550636144284392e-6	1	0.5	NA	1	1	0.5663110417436341	-0.25309344255316324	0.23088330511059088	0.47469775781649654	0.27031813919608966	-4.350445762022867e-4	-4.438373693603636e-4	0.45629323302856706	0.4556135437303912	0.4549338544322154
