dataset_id	method_id	dataset_loader	dataset_group	method_group	metric_id	value
10x_pbmc_granulocyte_sorted_10k_JE	baseline_mnn	10x	JE	baseline	ari	0
10x_pbmc_granulocyte_sorted_10k_JE	baseline_pca	10x	JE	baseline	ari	0
10x_pbmc_granulocyte_sorted_10k_JE	baseline_umap	10x	JE	baseline	ari	0
10x_pbmc_granulocyte_sorted_10k_JE	dummy_random	10x	JE	dummy	ari	-1.0535960261808445e-4
10x_pbmc_granulocyte_sorted_10k_JE	dummy_solution	10x	JE	dummy	ari	0
10x_pbmc_granulocyte_sorted_10k_JE	dummy_zeros	10x	JE	dummy	ari	-1.1563167548903743e-4
10x_pbmc_granulocyte_sorted_3k_JE	baseline_lmds	10x	JE	baseline	ari	0.3786986624163893
10x_pbmc_granulocyte_sorted_3k_JE	baseline_mnn	10x	JE	baseline	ari	0.5769682861100405
10x_pbmc_granulocyte_sorted_3k_JE	baseline_pca	10x	JE	baseline	ari	0
10x_pbmc_granulocyte_sorted_3k_JE	baseline_umap	10x	JE	baseline	ari	0
10x_pbmc_granulocyte_sorted_3k_JE	dummy_random	10x	JE	dummy	ari	-6.23751581298565e-4
10x_pbmc_granulocyte_sorted_3k_JE	dummy_solution	10x	JE	dummy	ari	0.19740522408486133
10x_pbmc_granulocyte_sorted_3k_JE	dummy_zeros	10x	JE	dummy	ari	0
10x_pbmc_unsorted_10k_JE	baseline_lmds	10x	JE	baseline	ari	0.4253287095811828
10x_pbmc_unsorted_10k_JE	baseline_mnn	10x	JE	baseline	ari	0.6846136084164186
10x_pbmc_unsorted_10k_JE	baseline_pca	10x	JE	baseline	ari	0
10x_pbmc_unsorted_10k_JE	baseline_umap	10x	JE	baseline	ari	0
10x_pbmc_unsorted_10k_JE	dummy_random	10x	JE	dummy	ari	-1.8711918296398724e-4
10x_pbmc_unsorted_10k_JE	dummy_solution	10x	JE	dummy	ari	0
10x_pbmc_unsorted_10k_JE	dummy_zeros	10x	JE	dummy	ari	-1.2567424053351532e-5
10x_pbmc_unsorted_3k_JE	baseline_lmds	10x	JE	baseline	ari	0.38278674260160034
10x_pbmc_unsorted_3k_JE	baseline_mnn	10x	JE	baseline	ari	0.6091510458973769
10x_pbmc_unsorted_3k_JE	baseline_pca	10x	JE	baseline	ari	0
10x_pbmc_unsorted_3k_JE	baseline_umap	10x	JE	baseline	ari	0
10x_pbmc_unsorted_3k_JE	dummy_random	10x	JE	dummy	ari	2.837979144900561e-4
10x_pbmc_unsorted_3k_JE	dummy_solution	10x	JE	dummy	ari	0.6746504635549525
10x_pbmc_unsorted_3k_JE	dummy_zeros	10x	JE	dummy	ari	0
azimuth_ref_JE	baseline_lmds	azimuth	JE	baseline	ari	0
azimuth_ref_JE	baseline_mnn	azimuth	JE	baseline	ari	0
azimuth_ref_JE	baseline_pca	azimuth	JE	baseline	ari	0
azimuth_ref_JE	baseline_umap	azimuth	JE	baseline	ari	0
azimuth_ref_JE	dummy_random	azimuth	JE	dummy	ari	0
