method_id	aupr	auroc	correct_format	finished	match_probability_mod1	match_probability_mod2	match_probability
dummy_solution	1	1	1	1	1	1	1
dummy_random	9.418026240570953e-4	0.5019338833899929	1	1	9.597456462776418e-4	9.678565222640298e-4	9.638010842708358e-4
baseline_dr_nn_knn	9.354277803048144e-4	0.48405203389748747	0.96	0.96	9.665612289969472e-4	5.235560075503963e-4	7.450586182736718e-4
dummy_constant	9.082495126531719e-4	0.5001156968707983	1	1	8.900900961952555e-4	2.2027761994622194e-4	5.551838580707387e-4
baseline_dr_nn_ga	8.838882445757545e-4	0.35942911404166805	0.72	0.72	8.720319844707404e-4	8.646528371429393e-4	8.683424108068399e-4
baseline_procrustes_knn	8.800246831449332e-4	0.498845681148423	1	1	8.712403047268161e-4	8.530286539624492e-4	8.621344793446326e-4
baseline_dr_knnr_knn	8.556923969727876e-4	0.4736921980246825	0.96	0.96	7.597486107319928e-4	5.3170639020043e-4	6.457275004662114e-4
dummy_zeros	0	0	1	1	0	0	0
