method_id	correct_format	finished	mean_pearson	mean_spearman	mse	msle	logp1_mse	logp1_msle
dummy_solution	1	1	0.972702630445825	0.9853573301741798	0	0	0	0
baseline_knn	1	1	0.19692061377746875	0.20650158094171359	146596146.00241372	3.0866024695660554	3.146480795922098	0.42801782352436063
baseline_linearmodel	1	1	0.22058895606237774	0.20195302572445356	904573704.4329156	16.241883764255533	3.173053069895596	0.6424535620309579
baseline_randomforest	0.86	0.86	0.05146640589468214	0.051656358679905263	3245478651.108977	27.751521211133745	4.278219645315465	0.7314031925304005
dummy_meanpergene	1	1	0	0	124138556.4549316	2.6634605835106453	2.849873938900708	0.37575781886121573
dummy_zeros	1	1	0	0	237279577.80745938	11.45311075147853	3.404106646125129	0.7625057817836837
dummy_random	1	1	-6.001657102985326e-4	-0.0010591082853419794	150623495.64585438	4.041810078170656	3.4281926378940155	0.5639972781674318
